c1,c2,c3,mu_c,alpha,beta,sigma_c,sigma,s_m_n1,s_m_n2,s_m_n3
0.448398,3.25666,0.771494,3.04126,0.303715,0.986351,2.11799,0.609042,1.08667,1.05173,1.80528
0.613043,3.86769,0.675818,3.4365,0.290968,0.981437,2.86984,0.61584,1.15649,0.878582,6.3236
0.611359,3.18894,0.718505,3.27695,0.298835,0.988783,2.24748,0.604371,0.715486,0.305936,30.107
0.626343,2.93145,0.759559,3.01962,0.298735,0.996164,1.77639,0.605718,1.20616,0.716127,4.34785
0.775433,2.8363,0.478334,3.57328,0.292012,0.998058,2.26582,0.613314,1.1739,0.801864,2.27647
0.877363,2.74499,0.237124,2.87085,0.291305,0.997781,2.76823,0.610609,1.21681,0.993166,4.24139
0.894741,3.09126,0.30007,3.43104,0.288774,0.999326,1.84913,0.615403,0.950359,0.531717,5.1229
0.735732,2.5486,0.512195,2.01453,0.282962,0.993995,2.23578,0.611653,1.22419,0.746497,16.1812
0.303683,1.51125,1.33953,2.86753,0.289527,0.997231,1.85823,0.611028,1.27297,0.932903,19.8245
0.23272,0.80471,1.00405,3.15529,0.278992,0.997209,2.53288,0.614645,1.35489,0.779312,9.24724
0.337343,1.60597,1.03757,2.55439,0.286493,0.994622,2.10387,0.613689,1.31605,1.13941,6.55626
0.366922,1.4669,0.565889,2.13167,0.289019,0.993296,2.36669,0.615282,1.28235,1.01463,7.64342
0.304169,1.69496,0.305875,2.83518,0.283388,0.981481,1.7514,0.618671,1.34158,0.844248,20.4112
0.253081,2.50952,0.914857,3.74005,0.287351,0.987798,2.7131,0.604483,0.619522,0.109134,12.5707
0.444901,2.62634,1.05108,3.19692,0.307929,0.993065,2.04861,0.612221,0.95354,0.00566543,21.6978
0.621467,3.10374,1.20912,3.9053,0.283641,0.979857,2.49778,0.608262,0.734555,0.389024,9.6188
0.461185,2.81949,1.5588,3.62917,0.289007,0.990425,2.35547,0.614286,0.939565,0.0606689,9.9864
0.361732,2.83468,1.5289,2.97009,0.290569,0.997423,2.63077,0.615497,1.05659,0.136536,7.08353
0.150892,2.10189,1.79791,2.4015,0.298581,0.98499,2.26472,0.615176,0.778818,0.466575,17.5539
0.223117,2.17314,1.24491,2.93122,0.306041,0.988332,2.27959,0.613717,0.812087,0.288635,7.14935
0.351286,2.46342,1.10878,2.65114,0.298378,0.988379,1.88794,0.613989,0.996268,0.539441,3.4341
0.328203,2.14112,1.21993,1.71798,0.303603,0.988032,2.88944,0.602927,1.31318,1.18936,1.48759
0.36065,2.40604,1.02038,2.21978,0.290131,0.98236,2.61579,0.628644,0.975052,0.902626,0.845439
0.781916,3.36841,0.124793,2.39862,0.28734,0.993623,2.05741,0.599503,1.12689,0.480736,46.9665
0.616131,3.40606,0.580276,3.96442,0.292955,0.990888,1.84787,0.631824,0.684213,0.423289,1.27424
0.524786,3.33881,0.662029,4.10747,0.292424,0.984467,2.10762,0.629595,0.682973,0.34655,1.67208
0.59704,3.36748,1.29795,1.42227,0.306053,0.990909,3.26716,0.611075,0.974749,0.736374,2.15107
0.642022,3.6884,0.91812,2.09734,0.303535,0.994441,2.32217,0.603442,1.09186,0.338999,2.22361
0.524894,2.19518,1.09685,3.55975,0.293742,0.978698,2.38159,0.62148,0.964194,0.145861,28.2474
0.528497,1.48012,1.25028,3.4506,0.295424,0.984421,2.36416,0.626707,0.978055,0.221132,15.3809
0.590582,2.69575,0.943613,2.52029,0.309766,0.994984,2.40458,0.613983,1.30622,0.918825,15.3027
0.322889,2.64577,1.05358,3.42775,0.296054,0.981194,2.40803,0.634784,0.559944,0.194195,16.1021
0.434387,2.61287,1.12747,3.05393,0.292626,0.985216,2.48594,0.630984,1.03009,0.65164,7.30128
0.652817,3.1309,0.627781,3.92496,0.289684,0.990944,2.37019,0.607787,0.797908,0.338671,23.7824
0.732331,3.71922,0.00755426,2.53065,0.301732,0.988702,2.27462,0.607834,0.82988,0.537617,6.95453
0.271336,1.68698,1.74929,2.61941,0.286534,0.986373,2.24778,0.631481,0.843506,0.49234,5.84052
1.23845,4.81257,0.126495,3.47978,0.302742,0.994364,1.92283,0.608685,0.809145,0.0274625,12.7025
0.959871,3.96448,0.579703,2.8421,0.301965,0.986882,2.47894,0.605088,1.14082,0.0682045,10.2285
1.05724,3.90861,-0.065028,3.19081,0.282654,0.9925,2.21041,0.616423,0.718835,0.602149,4.74733
1.01244,3.9814,-0.18836,2.97301,0.303366,0.98669,2.22589,0.610207,0.981508,0.0839074,3.18001
0.878858,4.091,0.262466,2.6542,0.292008,0.993544,1.94818,0.613335,0.741422,0.153295,1.10938
0.724698,3.16037,0.6879,3.05319,0.303192,0.994192,1.79536,0.603657,0.700935,0.228721,1.01977
0.823118,3.65304,-0.0163063,3.7312,0.315122,0.995419,2.14255,0.614973,1.43554,1.01555,2.52309
0.306683,2.83837,1.13842,2.58447,0.288777,0.98967,1.88719,0.623372,0.654523,0.373484,36.0427
0.945526,5.44113,-0.0936663,3.51903,0.294589,0.991531,2.16968,0.608494,1.55946,1.49457,5.31542
