c1,c2,c3,alpha,beta,c,s_m_s1,s_m_s2,s_m_s3,s_s1,s_s2
0.967026,4.38607,0.770637,0.8138,0.965152,5.93456,0.33054,-1.03215,7.24128,0.458396,2.37039
1.02302,4.5043,0.733338,0.821901,0.949994,5.99616,0.449637,-1.1822,6.89549,0.458148,2.28647
0.84327,3.87292,1.01462,0.789819,0.968992,5.9537,0.417255,-0.529912,7.30108,0.499633,2.06359
1.16513,4.36916,0.714408,0.820829,0.963417,6.07879,0.383588,-1.22351,6.95778,0.466881,2.13999
1.08795,4.54608,0.795621,0.756177,0.900069,5.73099,0.331974,-0.540036,7.41367,0.467362,2.08694
1.17522,4.59755,0.685149,0.794057,0.95787,5.88948,0.505935,-0.70533,7.14805,0.479307,1.90121
0.994942,4.24134,1.16273,0.753787,0.898478,5.92095,0.420792,-0.6474,7.26877,0.470554,2.14126
1.03759,3.90608,1.17648,0.825438,0.957319,6.36326,0.627412,-1.93807,6.24493,0.45515,2.50172
0.98713,3.80489,1.25597,0.769338,0.921767,6.19121,0.362894,-0.245578,7.59375,0.476436,2.09693
0.877967,3.35524,1.06637,0.769792,0.911044,6.15167,0.636981,-2.0221,6.60992,0.471505,2.3448
0.885435,3.45113,0.789558,0.788023,0.931199,6.28246,0.298837,-0.305816,7.87806,0.461186,2.3842
0.799774,3.53132,0.973536,0.793404,0.955257,5.83099,0.299042,-0.311069,8.00224,0.459583,2.13621
0.891865,3.80863,1.01753,0.785762,0.9132,6.49653,0.0909916,-0.956118,7.77778,0.469398,2.36216
0.839211,3.5962,0.934239,0.745749,0.891898,5.7917,0.0795775,-0.389522,8.2371,0.465716,2.15572
0.906963,4.15677,0.934195,0.790434,0.930727,6.15902,0.0754205,-0.830873,7.91474,0.470667,2.40437
0.901808,4.16775,0.87824,0.79926,0.952122,6.09752,0.0469729,-0.862671,7.88247,0.478128,2.16664
0.918311,4.18467,0.829457,0.797803,0.95678,6.21492,0.0455653,-0.643114,7.94458,0.459157,2.19582
0.768172,4.05315,1.05594,0.81694,0.968036,6.1609,0.0485601,-0.466751,8.04097,0.473489,2.11739
0.747798,4.06791,1.05572,0.802829,0.956393,6.4054,0.037796,-0.545354,8.25169,0.463424,2.31162
0.727179,4.00281,1.25113,0.82076,0.969333,6.42111,0.0262336,-0.635645,7.98118,0.476638,2.28907
0.761329,4.00045,1.13207,0.7779,0.935721,6.35974,0.0405587,-0.736765,8.05492,0.477132,2.10562
0.597433,3.60473,1.40912,0.785583,0.928094,6.34381,0.303253,-0.68737,7.4483,0.478681,2.22356
0.601807,3.57095,1.43374,0.77913,0.946281,6.19646,0.411355,-0.855308,7.0457,0.476461,2.10811
0.757792,3.59721,1.47005,0.855123,0.991593,6.47902,0.421268,-0.544656,7.20111,0.482166,1.89879
0.480535,2.86421,1.76869,0.782643,0.949067,6.11868,0.477765,-0.618101,7.09797,0.473516,2.30461
0.716653,3.59233,1.3971,0.829645,0.977261,6.54127,0.336473,-0.538258,7.32317,0.472857,2.07625
0.586934,3.33119,1.56957,0.804965,0.950226,6.14922,0.382163,-0.677083,7.12241,0.460678,2.30736
0.647597,3.52322,1.36718,0.80114,0.949515,6.28445,0.358853,-0.782267,7.14805,0.459846,2.28026
0.629854,3.56693,1.45789,0.821917,0.971775,6.25241,0.207104,-0.740789,7.41339,0.461592,2.22008
0.5219,3.19449,1.6834,0.847616,0.987289,6.52541,0.409585,-0.510547,7.43136,0.459293,2.21232
0.645858,3.13591,1.82087,0.718166,0.851535,5.77136,0.437008,-0.893248,6.79156,0.478323,2.14164
0.725749,3.37682,1.57238,0.810254,0.972538,6.35141,0.659136,-0.519127,7.09262,0.479127,2.09353
0.783646,3.65807,1.39362,0.807845,0.949543,6.04405,0.516509,-0.522867,6.75154,0.481797,2.09153
1.00435,4.52817,1.18148,0.767256,0.911234,5.76701,0.542399,-0.984373,7.03954,0.488403,2.12009
0.927401,4.2398,0.887532,0.816462,0.97174,6.15312,0.28074,-1.01687,7.31914,0.475966,2.10257
0.927118,4.13901,0.849391,0.867463,0.978323,6.73104,0.538521,-0.838756,6.7551,0.455814,2.44451
0.835249,3.90509,0.822091,0.798697,0.986514,6.27989,0.275186,-0.831007,7.37462,0.468889,2.18777
0.723085,3.68259,0.804366,0.803778,0.925547,5.86276,0.495198,-1.04432,6.64525,0.478698,2.12958
0.63407,2.98508,1.35113,0.769931,0.916202,6.27879,0.196259,-0.737519,7.51305,0.457886,2.38258
0.848818,3.24301,0.792412,0.828995,0.975106,6.20092,0.490348,-0.84322,7.11396,0.4788,2.18606
0.870267,3.45186,0.822223,0.807716,0.975257,6.52725,0.370496,-1.00384,7.19233,0.481649,1.98387
0.879257,3.97108,0.894814,0.829307,0.989711,6.22179,0.575648,-0.797842,6.74827,0.490889,1.92512
0.797698,3.93137,0.930248,0.829427,0.98644,6.47639,0.513912,-1.66692,6.48297,0.469334,2.17816
0.843351,3.42331,0.764489,0.801181,0.940266,6.34347,0.359199,-0.394778,7.52403,0.481432,2.01269
0.916728,3.57043,0.647051,0.791477,0.945655,6.24847,0.334932,-0.531914,7.4967,0.487758,2.06278
0.833506,3.50268,0.96373,0.835998,0.992682,6.23922,0.552091,-0.744186,7.00586,0.485402,2.11527
0.886777,3.34965,0.752977,0.841863,0.961205,6.47196,0.251642,-0.625341,7.25944,0.476246,2.326
0.730176,3.02948,1.00746,0.823782,0.949939,6.1772,0.662184,-0.649856,7.11258,0.481889,2.18023
0.690687,3.22979,1.24281,0.797277,0.949051,6.08907,0.20786,-0.661317,7.28186,0.47281,2.29561
0.710217,3.20236,1.12082,0.825987,0.955548,6.41319,0.31684,-0.872677,7.29777,0.470621,2.18623
0.829254,3.64385,1.00731,0.79494,0.954149,6.12942,0.4521,-0.75419,7.08001,0.466518,2.26575
0.721662,3.38758,1.70705,0.80967,0.9354,6.02483,0.381373,-0.714919,7.03095,0.46183,2.25899
0.752959,3.30054,1.4663,0.766939,0.911626,5.74805,0.513268,-0.47901,7.14573,0.468403,2.16443
0.694,3.19813,1.60303,0.722693,0.857052,5.83157,0.453684,-0.301618,7.19064,0.475824,2.17604
0.588749,3.07052,1.9131,0.782763,0.940094,6.07056,0.387664,-0.298838,7.80666,0.464476,2.1427
0.714864,2.58025,1.73163,0.823436,0.979508,6.41725,0.584496,-1.39064,6.64143,0.478022,1.97851
0.715419,2.64208,1.56942,0.828797,0.968605,6.16485,0.349062,-0.546543,7.32316,0.466654,2.24503
