c1,c2,c3,mu_c,alpha,beta,sigma_c,s_m_r,s_r1,s_r2
0.45565,1.31887,0.849418,1.64246,0.521308,0.840513,1.42793,0.487866,0.52087,1.44991
0.122662,0.742515,0.568542,2.90178,0.6037,0.952593,2.16588,0.640867,0.557263,1.17601
0.351907,1.03902,0.681302,2.07366,0.576095,0.911705,2.08865,0.617398,0.51067,1.52348
0.536057,1.27676,0.525696,2.18036,0.536373,0.883992,1.3947,0.417445,0.545257,1.2769
0.444679,1.19436,0.784288,1.87687,0.532118,0.862301,1.39416,0.414875,0.550019,1.26649
0.556744,1.39535,0.574556,2.26101,0.523749,0.886615,1.7226,0.466786,0.53364,1.20424
0.641381,1.33192,0.500995,2.69678,0.555166,0.961803,1.483,0.49578,0.521632,1.38595
0.257969,1.15654,0.974285,2.01194,0.538151,0.86654,1.56664,0.631332,0.542149,1.46297
0.378247,1.09424,0.685889,1.84029,0.520031,0.942989,2.00217,0.519931,0.516076,1.43752
0.287518,1.23319,1.01015,3.10597,0.613264,0.952516,2.25112,0.504834,0.553943,1.33181
0.0727555,1.00414,1.55243,2.04403,0.419093,0.761291,1.35884,0.514006,0.516632,1.33598
0.286682,1.23587,0.961116,1.90705,0.567763,0.978875,2.11214,0.55134,0.525398,1.40967
0.245679,1.15636,1.1625,2.42417,0.503456,0.801434,1.98378,0.46498,0.537742,1.37525
0.110116,1.04763,1.14626,2.07307,0.525265,0.898975,1.74057,0.623202,0.537291,1.3078
0.301829,1.17739,1.04302,1.76634,0.500806,0.86254,1.2687,0.521795,0.549424,1.28111
0.494737,1.37075,0.989994,2.23142,0.459738,0.831939,1.54192,0.547343,0.575501,1.05912
0.406666,1.34587,1.15976,2.28878,0.498583,0.907421,1.19904,0.583107,0.542102,1.07624
0.629123,1.6436,1.07987,2.73985,0.604177,0.972031,1.96723,0.494877,0.553707,1.39467
0.382745,1.1883,0.913424,1.66084,0.386667,0.659615,1.15241,0.543891,0.546394,1.10369
0.358837,1.04532,0.888098,1.48229,0.44788,0.770164,1.50996,0.43522,0.527061,1.37118
